ticker,forecast_time,label,prediction,confidence,temporal_validity,evidence_support,confidence_drop,is_faithful,counterevidence_coverage,market_consistency,market_regime,valid_news_count,invalid_future_news_count
AAPL,2023-01-10 09:00:00,UP,DOWN,0.4135,1.0,0.0,-0.0005,False,0.0,0.5,sideways,1,0
AAPL,2023-01-11 09:00:00,HOLD,UP,0.406,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-01-12 09:00:00,UP,UP,0.4671,1.0,1.0,0.0258,False,0.0,1.0,bull,1,0
AAPL,2023-01-13 09:00:00,UP,UP,0.556,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-01-17 09:00:00,DOWN,UP,0.5814,1.0,0.0,-0.0034,False,0.0,0.5,bull,1,0
AAPL,2023-01-18 09:00:00,HOLD,UP,0.6477,1.0,0.0,-0.0023,False,0.0,0.5,bull,1,0
AAPL,2023-01-19 09:00:00,UP,UP,0.7655,1.0,0.0,-0.0038,False,0.0,1.0,sideways,1,0
AAPL,2023-01-20 09:00:00,UP,UP,0.6442,1.0,0.0,-0.0196,False,0.0,0.5,bull,1,0
AAPL,2023-01-23 09:00:00,UP,UP,0.5383,1.0,1.0,0.0289,False,0.0,1.0,bull,1,0
AAPL,2023-01-24 09:00:00,HOLD,UP,0.447,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-01-25 09:00:00,UP,DOWN,0.4615,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-01-26 09:00:00,UP,UP,0.4654,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-01-27 09:00:00,DOWN,UP,0.444,1.0,0.0,0.0173,False,0.0,0.5,bull,1,0
AAPL,2023-01-30 09:00:00,UP,UP,0.6118,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-01-31 09:00:00,UP,DOWN,0.4584,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-02-01 09:00:00,UP,UP,0.4774,1.0,1.0,0.07,False,0.0,1.0,bull,1,0
AAPL,2023-02-02 09:00:00,UP,UP,0.5677,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-02-03 09:00:00,DOWN,UP,0.5903,1.0,1.0,0.0218,False,0.0,1.0,bull,1,0
AAPL,2023-02-06 09:00:00,UP,DOWN,0.4151,1.0,0.0,0.0018,False,0.0,0.5,sideways,1,0
AAPL,2023-02-07 09:00:00,DOWN,UP,0.6134,1.0,1.0,-0.0151,False,0.0,1.0,bull,1,0
AAPL,2023-02-08 09:00:00,DOWN,UP,0.5588,1.0,1.0,-0.0042,False,0.0,0.5,sideways,1,0
AAPL,2023-02-09 09:00:00,HOLD,UP,0.5595,1.0,1.0,-0.0042,False,0.0,0.5,sideways,1,0
AAPL,2023-02-10 09:00:00,UP,UP,0.4901,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-02-13 09:00:00,HOLD,DOWN,0.4296,1.0,0.0,0.0165,False,0.0,1.0,bull,1,0
AAPL,2023-02-14 09:00:00,UP,UP,0.4805,1.0,0.0,0.0,False,0.0,0.5,bear,1,0
AAPL,2023-02-15 09:00:00,DOWN,DOWN,0.4665,1.0,0.0,0.4665,True,0.0,1.0,bull,1,0
AAPL,2023-02-16 09:00:00,DOWN,UP,0.4532,1.0,0.0,0.4532,True,0.0,0.5,bull,1,0
AAPL,2023-02-17 09:00:00,DOWN,UP,0.5169,1.0,1.0,-0.0099,False,0.0,0.5,sideways,1,0
AAPL,2023-02-21 09:00:00,HOLD,DOWN,0.5045,1.0,0.0,0.0052,False,0.0,0.5,bear,1,0
AAPL,2023-02-22 09:00:00,HOLD,UP,0.4691,1.0,1.0,0.0173,False,0.0,0.5,bear,1,0
AAPL,2023-02-23 09:00:00,DOWN,DOWN,0.4274,1.0,0.0,0.0,False,0.0,0.5,bear,1,0
AAPL,2023-02-24 09:00:00,UP,UP,0.5025,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-02-27 09:00:00,HOLD,UP,0.436,1.0,1.0,0.0287,False,0.0,0.5,bear,1,0
AAPL,2023-02-28 09:00:00,DOWN,DOWN,0.4972,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-03-01 09:00:00,HOLD,UP,0.6037,1.0,0.0,0.0101,False,0.0,0.5,sideways,1,0
AAPL,2023-03-02 09:00:00,UP,UP,0.4695,1.0,0.0,0.0,False,0.0,0.5,bear,1,0
AAPL,2023-03-03 09:00:00,UP,UP,0.4884,1.0,0.0,0.0272,False,0.0,0.5,bull,1,0
AAPL,2023-03-06 09:00:00,DOWN,UP,0.5938,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-03-07 09:00:00,UP,UP,0.4331,1.0,0.0,0.0308,False,0.0,0.5,sideways,1,0
AAPL,2023-03-08 09:00:00,DOWN,DOWN,0.4739,1.0,1.0,0.0383,False,0.0,0.5,sideways,1,0
AAPL,2023-03-09 09:00:00,DOWN,UP,0.4355,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-03-10 09:00:00,UP,UP,0.4395,1.0,1.0,0.032,False,0.0,0.5,sideways,1,0
AAPL,2023-03-13 09:00:00,UP,UP,0.5646,1.0,1.0,-0.02,False,0.0,0.5,sideways,1,0
AAPL,2023-03-14 09:00:00,HOLD,DOWN,0.4706,1.0,0.0,0.0272,False,0.0,1.0,sideways,1,0
AAPL,2023-03-15 09:00:00,UP,DOWN,0.4701,1.0,0.0,0.0271,False,0.0,1.0,sideways,1,0
AAPL,2023-03-16 09:00:00,DOWN,DOWN,0.4156,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-03-17 09:00:00,UP,DOWN,0.5057,1.0,0.0,0.0047,False,0.0,1.0,bull,1,0
AAPL,2023-03-20 09:00:00,UP,UP,0.6537,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-03-21 09:00:00,DOWN,DOWN,0.4663,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-03-22 09:00:00,UP,DOWN,0.4295,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-03-23 09:00:00,UP,DOWN,0.5071,1.0,0.0,-0.0193,False,0.0,0.5,sideways,1,0
AAPL,2023-03-24 09:00:00,DOWN,UP,0.5206,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-03-27 09:00:00,HOLD,UP,0.53,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-03-28 09:00:00,UP,DOWN,0.4444,1.0,0.0,0.0,False,0.0,0.5,bear,1,0
AAPL,2023-03-29 09:00:00,UP,UP,0.5146,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-03-30 09:00:00,UP,DOWN,0.4467,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-03-31 09:00:00,UP,DOWN,0.4147,1.0,0.0,0.0029,False,0.0,1.0,bull,1,0
AAPL,2023-04-03 09:00:00,HOLD,DOWN,0.4658,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-04-04 09:00:00,DOWN,DOWN,0.5037,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-04-05 09:00:00,UP,UP,0.6409,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-04-06 09:00:00,DOWN,UP,0.583,1.0,1.0,-0.0067,False,0.0,0.5,sideways,1,0
AAPL,2023-04-10 09:00:00,DOWN,UP,0.5671,1.0,1.0,-0.0113,False,0.0,0.5,sideways,1,0
AAPL,2023-04-11 09:00:00,HOLD,UP,0.4994,1.0,0.0,-0.0034,False,0.0,1.0,bear,1,0
AAPL,2023-04-12 09:00:00,UP,UP,0.6879,1.0,1.0,-0.0048,False,0.0,0.5,sideways,1,0
AAPL,2023-04-13 09:00:00,HOLD,UP,0.5564,1.0,1.0,-0.0087,False,0.0,1.0,bull,1,0
AAPL,2023-04-14 09:00:00,HOLD,UP,0.5513,1.0,1.0,-0.009,False,0.0,0.5,sideways,1,0
AAPL,2023-04-17 09:00:00,UP,UP,0.5519,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-04-18 09:00:00,UP,UP,0.3899,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-04-19 09:00:00,DOWN,UP,0.3886,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-04-20 09:00:00,DOWN,UP,0.4084,1.0,0.0,0.0141,False,0.0,0.5,bull,1,0
AAPL,2023-04-21 09:00:00,HOLD,UP,0.4084,1.0,0.0,0.0141,False,0.0,1.0,sideways,1,0
AAPL,2023-04-24 09:00:00,DOWN,UP,0.4195,1.0,0.0,0.0044,False,0.0,1.0,sideways,1,0
AAPL,2023-04-25 09:00:00,HOLD,UP,0.5195,1.0,1.0,-0.0042,False,0.0,0.5,sideways,1,0
AAPL,2023-04-26 09:00:00,UP,UP,0.5176,1.0,1.0,-0.0042,False,0.0,0.5,bear,1,0
AAPL,2023-04-27 09:00:00,UP,UP,0.6065,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-04-28 09:00:00,HOLD,UP,0.4622,1.0,1.0,0.0062,False,0.0,0.5,sideways,1,0
AAPL,2023-05-01 09:00:00,DOWN,UP,0.42,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-05-02 09:00:00,DOWN,DOWN,0.4198,1.0,0.0,0.0173,False,0.0,1.0,sideways,1,0
AAPL,2023-05-03 09:00:00,DOWN,UP,0.3792,1.0,1.0,-0.0223,False,0.0,1.0,bull,1,0
AAPL,2023-05-04 09:00:00,UP,UP,0.6616,1.0,0.0,-0.0272,False,0.0,0.5,sideways,1,0
AAPL,2023-05-05 09:00:00,HOLD,UP,0.5615,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-05-08 09:00:00,DOWN,UP,0.5404,1.0,1.0,0.004,False,0.0,0.5,sideways,1,0
AAPL,2023-05-09 09:00:00,UP,UP,0.5442,1.0,1.0,0.0412,False,0.0,0.5,sideways,1,0
AAPL,2023-05-10 09:00:00,HOLD,UP,0.478,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-05-11 09:00:00,DOWN,DOWN,0.3917,1.0,0.0,0.0027,False,0.0,0.5,sideways,1,0
AAPL,2023-05-12 09:00:00,HOLD,DOWN,0.4949,1.0,0.0,0.0,False,0.0,0.5,bear,1,0
AAPL,2023-05-15 09:00:00,HOLD,UP,0.5343,1.0,0.0,0.0002,False,0.0,1.0,bear,1,0
AAPL,2023-05-16 09:00:00,HOLD,UP,0.557,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-05-17 09:00:00,UP,UP,0.5591,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
AAPL,2023-05-18 09:00:00,HOLD,UP,0.5571,1.0,0.0,0.0,False,0.0,0.5,bull,1,0
AAPL,2023-05-19 09:00:00,DOWN,UP,0.5548,1.0,0.0,0.0,False,0.0,1.0,sideways,1,0
